Link,Month-Year,Occurred,City,State,Country,Shape,Summary,Reported,Media,Explanation
Open,2025/01,01/28/2025 17:40,Huntsville,AL,USA,Other,One aircraft the size of a large truck had headlights,,Aircraft?,
Open,2025/01,01/28/2025 10:40,Springfield,OH,USA,Cross,"At 10:40 AM EST, I saw a metallic, X-shaped object in the sky. No planes were on radar, confirming it wasn’t a conventional aircraft.",Y,Drone?,
Open,2025/01,01/28/2025 02:00,Raleigh,NC,USA,Triangle,"Triangle shaped lights moving across the sky, then it ‘parked’ and stayed in one spot for a long time.",Y,,
Open,2025/01,01/28/2025 00:29,Bell Acres,PA,USA,Unknown,Only white lights. Rotated and disappeared on a very clear night. Only lasted about 5 seconds. No sound.,,,
Open,2025/01,01/27/2025 21:57,Ossipee,NH,USA,Circle,There was an object hovering and moving very slowly over Wolfeboro.,Y,,
Open,2025/01,01/27/2025 21:36,Auckland,Auckland,New Zealand,Unknown,"Shining green lights, flew overhead, and disappeared. There were no close planes on the flight radar, some appliances distorted.",,,
Open !,2025/01,01/27/2025 21:30,Athens,GA,USA,Other,Noticed bright blue glowing lights behind subdivision tonight and saw a huge upside-down Pyramid rotating glowing red on bottom,,,
Open,2025/01,01/27/2025 21:00,Santo André,São Paulo,Brazil,Changing,About 4 UFOs. Orbs waited for another one to appear and went away following it.,,,
Open,2025/01,01/27/2025 21:00,Wellington,FL,USA,Orb,Orb nightly comes and sort of goes behind trees in the marshlands,,,
Open,2025/01,01/27/2025 20:49,Sugar Land,TX,USA,Chevron,Unusual noises followed by flying object,,,
Open,2025/01,01/27/2025 19:48,El Dividive,Trujillo,Venezuela,Oval,"There was no electricity, the starry night, suddenly I saw an oval shape that left a flash, I called the neighbors, everyone saw it.",,,
Open,2025/01,01/27/2025 18:20,Malibu,CA,USA,Circle,Bright light in sky visible from ucla. Not a planet or star. 45 degrees above horizon and southwest. Brightest light in sky.,,,
Open,2025/01,01/27/2025 18:14,Belleville,NJ,USA,Orb,I was walking my dog when I saw this orb moving steadily in the sky at around the height of a plane or possibly lower.,Y,,
Open,2025/01,01/27/2025 17:55,New York Mills,NY,USA,Light,it was 3 round red lights next to 3 round green lights and it was moving,Y,Drone?,
Open,2025/01,01/27/2025 12:45,Bremerton,WA,USA,Rectangle,We saw 3 what I thought to were planes from a car.,,,
Open,2025/01,01/27/2025 08:15,Sebastopol,Victoria,Australia,Changing,Flying abnormal amount the clouds changed color then poof into a portal in the blue.,,Cloud?,
Open !,2025/01,01/27/2025 06:45,Longview,WA,USA,Triangle,"Saw unusual lights in distance, craft crossed over me from east of I5 to west, flew low and slow. Was big triangle.",,,
Open,2025/01,01/27/2025 04:50,Chain Lake,WA,USA,Light,Light bulb looking craft over tree line super fast,,,
Open,2025/01,01/27/2025 02:10,Caseros,Provincia de Buenos Aires,Argentina,Egg,A green light in the shape of an egg that stayed for a few seconds and then shot off strongly to the south.,,,
Open,2025/01,01/26/2025 22:56,Chattanooga,TN,USA,Light,On my way into work for 3rd shift and these lights were above (obscured by a cloud from the only cloud in the skyow) but could be seen,Y,,
Open,2025/01,01/26/2025 22:00,Bradford,OH,USA,Sphere,Possible drones but do not know why there are so many or why they are out every night.,,Drone?,
Open,2025/01,01/26/2025 21:25,Richfield,OH,USA,Disk,I used to scoff at UFO believers. Tonight I saw my first UFO. I saw dim blue flashing lights on a disk just hovering around the highway,,,
Open,2025/01,01/26/2025 19:35,Whitehall,PA,USA,Orb,Saw a very bright light. Took 2 pictures. Looked down at my phone & back up & it was gone.,Y,,
Open,2025/01,01/26/2025 19:20,Steeleville,IL,USA,Diamond,Just stepped out of garage heading to house and it floated above house heading NW. it was dead silent and had glowing lights on bottom.,,,
Open,2025/01,01/26/2025 18:45,Geneva,NY,USA,Oval,Craft was probably operating in phase-shifted mode (frequency). Visible energy signature across bottom of craft.,,,
Open,2025/01,01/26/2025 18:43,Ash Lake,MN,USA,Light,I'm a US Border Patrol Agent on patrol and sighted them.,,,
Open,2025/01,01/26/2025 18:06,Mascoutah,IL,USA,Formation,Light formation on the back roads,Y,,
Open,2025/01,01/26/2025 17:00,Azle,TX,USA,Changing,Various UAP not drones,Y,Aircraft,
Open,2025/01,01/26/2025 09:33,Brasília,Federal District,Brazil,Light,Sighting of a red UFO fixed in the sky of Recanto das Emas - DF with witnesses,Y,,
Open !,2025/01,01/26/2025 05:58,Oakland,CA,USA,Disk,I dont think i was dreaming but i saw two saucers fly towards me from the sky with lights and then an alien appear in my apartment,,Dream?,
Open,2025/01,01/26/2025 05:46,Beverly Hills,CA,USA,Orb,Orb with no lights or sound,Y,Balloon?,
Open,2025/01,01/26/2025 05:45,New York,NY,USA,Chevron,"5:30 AM I saw a large bright orb, and then this object appeared out of it.",Y,,
Open,2025/01,01/26/2025 03:33,Daphne,AL,USA,Changing,"Glowing orb mingling with some kind of anti-matter or unknown form of matter, in an almost mercurial movement, turning into an eye",,,
Open !,2025/01,01/26/2025 00:37,Leeds,ME,USA,Other,Sphere descended from the sky and hovered about 40 feet off the ground. A tube of blue light came down and touched the Earth.,,,
